Subject,Institution,Course Name,Course Url,Duration,Provider
Humanities Courses,University of Leeds,WW1 Heroism: Through Art and Film,https://classcentral.com/course/ww1-heroism-art-film-5014,"2 hours a week,2 weeks long",FutureLearn
Social Sciences Courses,The University of Sheffield,Exploring Play: The Importance of Play in Everyday Life,https://classcentral.com/course/play-2134,7 weeks long,FutureLearn
Social Sciences Courses,The Hong Kong University of Science and Technology,Protecting Business Innovations via Patent,https://classcentral.com/course/protect-business-innovations-patent-10382,"10 hours worth of material,5 weeks long",Coursera
Social Sciences Courses,The Hong Kong University of Science and Technology,Green Business Strategy,https://classcentral.com/course/green-business-strategy-12644,"2-3 hours a week,4 weeks long",Coursera
Mathematics Courses,University of Padova,"Advanced Precalculus: Geometry, Trigonometry and Exponentials",https://classcentral.com/course/advanced-precalculus-9602,"5 hours a week,4 weeks long",FutureLearn
Mathematics Courses,Universitat Politècnica de València,Bases Matemáticas: Álgebra,https://classcentral.com/course/edx-bases-matematicas-algebra-2968,"3-4 hours a week,4 weeks long",edX
Business Courses,Tomsk State University,Presentation skills: Designing Presentation Slides,https://classcentral.com/course/slides-9643,"307 hours worth of material,4 weeks long",Coursera
Business Courses,University System of Maryland,Applied Scrum for Agile Project Management,https://classcentral.com/course/edx-applied-scrum-for-agile-project-management-11917,"2-3 hours a week,4 weeks long",edX
Computer Science Courses,University of Alberta,Sample-based Learning Methods,https://classcentral.com/course/sample-based-learning-methods-14496,"23 hours worth of material,4 weeks long",Coursera
Computer Science Courses,Rochester Institute of Technology,Cybersecurity Fundamentals,https://classcentral.com/course/edx-cybersecurity-fundamentals-7844,"10-12 hours a week,8 weeks long",edX
Computer Science Courses,University of Cape Town,Julia Scientific Programming,https://classcentral.com/course/julia-programming-7092,"21 hours worth of material,4 weeks long",Coursera
Humanities Courses,Yonsei University,First Step Korean,https://classcentral.com/course/learn-korean-5730,"18 hours worth of material,5 weeks long",Coursera
Humanities Courses,"University of California, Irvine",Grammar and Punctuation,https://classcentral.com/course/grammar-punctuation-4236,"22 hours worth of material,4 weeks long",Coursera
Health & Medicine Courses,University of Tasmania,Understanding Dementia,https://classcentral.com/course/independent-understanding-dementia-981,"3 hours a week,7 weeks long",Independent
Social Sciences Courses,Monash University,Introduction to Psychology: The Psychology of Learning,https://classcentral.com/course/psychology-of-learning-11039,"6 hours a week,2 weeks long",FutureLearn
Social Sciences Courses,Wesleyan University,Social Psychology,https://classcentral.com/course/socialpsychology-555,"4-8 hours a week,7 weeks long",Coursera
Social Sciences Courses,University of Leeds,Incarceration: Are Prisons a Suitable Punishment?,https://classcentral.com/course/incarceration-prisons-suitable-punishment-17036,"4 hours a week,2 weeks long",FutureLearn
Mathematics Courses,Massachusetts Institute of Technology,Probability - The Science of Uncertainty and Data,https://classcentral.com/course/edx-probability-the-science-of-uncertainty-and-data-1496,"10-14 hours a week,16 weeks long",edX
Mathematics Courses,Stanford University,Statistical Learning,https://classcentral.com/course/edx-statistical-learning-1579,"3-5 hours a week,9 weeks long",edX
Business Courses,Universitat Politècnica de València,Excel: Fundamentos y herramientas,https://classcentral.com/course/edx-excel-fundamentos-y-herramientas-2962,"3-4 hours a week,8 weeks long",edX
Business Courses,Technische Universität München (Technical University of Munich),Lean Production,https://classcentral.com/course/edx-lean-production-8447,"3-4 hours a week,6 weeks long",edX
Business Courses,Technische Universität München (Technical University of Munich),"Six Sigma: Analyze, Improve, Control",https://classcentral.com/course/edx-six-sigma-analyze-improve-control-8452,"3-4 hours a week,8 weeks long",edX
Computer Science Courses,"University of California, San Diego",Algorithmic Toolbox,https://classcentral.com/course/algorithmic-toolbox-5471,"37 hours worth of material,6 weeks long",Coursera
Computer Science Courses,Stanford University,Introduction to Artificial Intelligence,https://classcentral.com/course/udacity-introduction-to-artificial-intelligence-301,"6 hours a week,16 weeks long",Udacity
Humanities Courses,Emory University,"The Bible's Prehistory, Purpose, and Political Future",https://classcentral.com/course/biblefuture-1406,"2-4 hours a week,6 weeks long",Coursera
Humanities Courses,University of Edinburgh,"Philosophy, Science and Religion: Religion and Science",https://classcentral.com/course/philosophy-science-religion-3-10623,"2-3 hours a week,6 weeks long",Coursera
Personal Development Courses,"University of California, San Diego",Learning How to Learn: Powerful mental tools to help you master tough subjects,https://classcentral.com/course/learning-how-to-learn-2161,"3-4 hours a week,4 weeks long",Coursera
Health & Medicine Courses,University of Tasmania,Preventing Dementia,https://classcentral.com/course/independent-preventing-dementia-6565,"2 hours a week,4 weeks long",Independent
Health & Medicine Courses,Wageningen University,"Nutrition, Exercise and Sports",https://classcentral.com/course/edx-nutrition-exercise-and-sports-14381,"4-8 hours a week,6 weeks long",edX
Health & Medicine Courses,University of Cape Town,Understanding Clinical Research: Behind the Statistics,https://classcentral.com/course/clinical-research-5037,"28 hours worth of material,6 weeks long",Coursera
Health & Medicine Courses,University of Tasmania,Understanding Multiple Sclerosis (MS),https://classcentral.com/course/independent-understanding-multiple-sclerosis-ms-13338,"2 hours a week,6 weeks long",Independent
Social Sciences Courses,The University of British Columbia,Gender and Sexuality: Applications in Society,https://classcentral.com/course/edx-gender-and-sexuality-applications-in-society-12333,"2-4 hours a week,6 weeks long",edX
Social Sciences Courses,University of Michigan,Model Thinking,https://classcentral.com/course/modelthinking-317,"4-8 hours a week,12 weeks long",Coursera
